,Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Latitude1,Longitude1,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods,Distance
139787,"Lau, Gordon J. Lau Elementary / Preschool",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS061,3,10,PS,38684786040877.0,"950 CLAY ST, San Francisco, CA 94108",3,6075,SAN FRANCISCO,"CA
(37.794399, -122.408806)",37.794399,-122.408806,9199,949 WASHINGTON ST,Commodore Stockton CDC,WASHINGTON,SIDEWALK,1,2,,2013,3,37.794827,-122.409042,POINT (-122.40903 37.794823),104.0,6.0,3.0,6.0,12.0,,,104.0,0.000664000000000442
174646,Bryant Early Education / Bryant Elementary,SFUSD,-2,5,PK-5,"USD PreK-5, Grades K-5",PS009,3,10,PS,38684786040778.0,"2641 25TH ST, San Francisco, CA 94110",10,6075,SAN FRANCISCO,"CA
(37.751453, -122.404694)",37.751453,-122.404694,12378,None,Potrero Del Sol Park,SAN BRUNO,PARCEL,2,4,,0,0,37.750995,-122.404357,POINT (-122.40434 37.75099),54.0,3.0,9.0,20.0,164.0,,,54.0,0.0007949999999965485
217819,Kai Ming Head Start - North Beach Center,Private,-2,-1,PK,Independent / Private,CDC061,3,4,CDC,384001489.0,"1188 COLUMBUS AVE, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.804852, -122.41642)",37.804852,-122.41642,10168,2568 JONES ST,Bimbo's 365 Club,JONES,SIDEWALK,1,2,,2002,0,37.805018,-122.416584,POINT (-122.41657 37.80501),106.0,6.0,3.0,23.0,24.0,,,106.0,0.0003299999999981651
233125,Marin Day School - Spear St,Private,-2,-1,PK,Independent / Private,CDC092,3,4,CDC,384001294.0,"101 HOWARD ST, SAN FRANCISCO, CA 94105",6,6075,SAN FRANCISCO,"CA
(37.790878, -122.392525)",37.790878,-122.392525,10186,101 HOWARD ST,multiple,HOWARD,SIDEWALK,5,10,,2015,1,37.790882,-122.392546,POINT (-122.39253 37.79088),108.0,1.0,10.0,8.0,25.0,3.0,,108.0,2.4999999993724487e-05
244468,Fusion Academy San Francisco,Private,6,12,6-12,Independent / Private,IND244,11,17,IND,38684786143440.0,"535 PACIFIC AVE FL 3, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.797028, -122.404182)",37.797028,-122.404182,9062,553 PACIFIC AVE,Clubcard,PACIFIC,SIDEWALK,1,2,,2013,10,37.796998,-122.404489,POINT (-122.40447 37.796993),106.0,6.0,3.0,6.0,55.0,,,106.0,0.0003369999999875972
247941,Fusion Academy San Francisco,Private,6,12,6-12,Independent / Private,IND244,11,17,IND,38684786143440.0,"535 PACIFIC AVE FL 3, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.797028, -122.404182)",37.797028,-122.404182,12202,910 MONTGOMERY ST,The Purple Onion,MONTGOMERY,SIDEWALK,1,2,,2006,0,37.797484,-122.403709,POINT (-122.403694 37.797478),106.0,6.0,3.0,23.0,47.0,,,106.0,0.0009289999999992915
266260,"Moscone, George Moscone Elementary / Las Americas Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS082,3,10,PS,38684786099154.0,"2576 HARRISON ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.756741, -122.41262)",37.756741,-122.41262,11978,801 TREAT AVE,Las Americas CDC,TREAT,SIDEWALK,1,2,,2013,4,37.756822,-122.412738,POINT (-122.41273 37.756817),53.0,3.0,2.0,20.0,195.0,,,53.0,0.00019900000000205864
267443,"Moscone, George Moscone Elementary / Las Americas Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS082,3,10,PS,38684786099154.0,"2576 HARRISON ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.756741, -122.41262)",37.756741,-122.41262,9702,2576 HARRISON ST,Moscone Elementry,HARRISON,SIDEWALK,1,2,,2012,2,37.756822,-122.412738,POINT (-122.41273 37.756817),53.0,3.0,2.0,20.0,195.0,,,53.0,0.00019900000000205864
270320,"Moscone, George Moscone Elementary / Las Americas Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS082,3,10,PS,38684786099154.0,"2576 HARRISON ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.756741, -122.41262)",37.756741,-122.41262,10215,801 TREAT AVE,Las Americas Childcare Center,21ST,SIDEWALK,1,2,,2010,0,37.756822,-122.412738,POINT (-122.41273 37.756817),53.0,3.0,2.0,20.0,195.0,,,53.0,0.00019900000000205864
281865,Sweet Peas Preschool - East,Private,-2,-1,PK,Independent / Private,CDC142,3,4,CDC,384002314.0,"2730 17TH ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.764515, -122.411102)",37.764515,-122.411102,11151,405 FLORIDA ST,Vista Point Studio Gallery,FLORIDA,SIDEWALK,1,2,,2002,0,37.764083,-122.410815,POINT (-122.410805 37.764076),53.0,3.0,2.0,20.0,169.0,,,53.0,0.0007190000000036889
282801,Sweet Peas Preschool - East,Private,-2,-1,PK,Independent / Private,CDC142,3,4,CDC,384002314.0,"2730 17TH ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.764515, -122.411102)",37.764515,-122.411102,11292,2701 17TH ST,BoomBotix,17TH,SIDEWALK,1,2,,2002,0,37.764083,-122.410815,POINT (-122.410805 37.764076),53.0,3.0,2.0,20.0,169.0,,,53.0,0.0007190000000036889
302462,Chinese American International School,Private,-2,-1,PK,Independent / Private,CDC014,3,4,CDC,384001964.0,"42 WALLER ST, SAN FRANCISCO, CA 94102",5,6075,SAN FRANCISCO,"CA
(37.772228, -122.424232)",37.772228,-122.424232,10416,1800 MARKET ST,LGBT Community Center,MARKET,SIDEWALK,1,6,,0,0,37.771773,-122.424015,POINT (-122.424 37.771767),27.0,7.0,5.0,9.0,37.0,9.0,,27.0,0.0006720000000015602
305744,Chinese American International School,Private,-2,-1,PK,Independent / Private,CDC014,3,4,CDC,384001964.0,"42 WALLER ST, SAN FRANCISCO, CA 94102",5,6075,SAN FRANCISCO,"CA
(37.772228, -122.424232)",37.772228,-122.424232,11913,42 WALLER ST,Chinese American International School,WALLER,SIDEWALK,1,2,,2012,9,37.772223,-122.424217,POINT (-122.4242 37.772217),27.0,4.0,11.0,9.0,37.0,,,27.0,2.0000000006348273e-05
323168,New Traditions Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS084,5,10,PS,38684786097919.0,"2049 GROVE ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.773884, -122.450264)",37.773884,-122.450264,12126,2049 GROVE ST,New Traditions Elementary School,GROVE,SIDEWALK,1,2,,2012,2,37.77388,-122.450254,POINT (-122.45024 37.773876),24.0,7.0,11.0,18.0,71.0,,,24.0,1.4000000007285962e-05
324038,New Traditions Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS084,5,10,PS,38684786097919.0,"2049 GROVE ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.773884, -122.450264)",37.773884,-122.450264,12433,2049 GROVE ST,New Traditions Elementary School,GROVE,SIDEWALK,2,4,,2012,2,37.77388,-122.450254,POINT (-122.45024 37.773876),24.0,7.0,11.0,18.0,71.0,,,24.0,1.4000000007285962e-05
325992,New Traditions Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS084,5,10,PS,38684786097919.0,"2049 GROVE ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.773884, -122.450264)",37.773884,-122.450264,11845,2066 HAYES ST,New Traditions Elementary School,HAYES,SIDEWALK,2,4,,2013,1,37.77388,-122.450254,POINT (-122.45024 37.773876),24.0,7.0,11.0,18.0,71.0,,,24.0,1.4000000007285962e-05
337402,Saint Pauls School,Private,0,8,K-8,Independent / Private,IND303,5,13,IND,38684786980601.0,"1690 CHURCH ST, SAN FRANCISCO, CA 94131",8,6075,SAN FRANCISCO,"CA
(37.743923, -122.426926)",37.743923,-122.426926,9156,1706 CHURCH ST,Drewes Meats,CHURCH,SIDEWALK,1,2,,2015,1,37.743465,-122.426977,POINT (-122.42696 37.74346),84.0,9.0,5.0,22.0,174.0,,,84.0,0.0005090000000009809
337643,Saint Pauls School,Private,0,8,K-8,Independent / Private,IND303,5,13,IND,38684786980601.0,"1690 CHURCH ST, SAN FRANCISCO, CA 94131",8,6075,SAN FRANCISCO,"CA
(37.743923, -122.426926)",37.743923,-122.426926,11346,1700 CHURCH ST,Regent Thai,CHURCH,SIDEWALK,1,2,,2015,1,37.743575,-122.426917,POINT (-122.4269 37.74357),84.0,9.0,5.0,22.0,174.0,,,84.0,0.0003569999999939455
360216,Claire Lilienthal Alternative School - Madison Campus,Private,0,2,K-2,Independent / Private,IND228,5,7,IND,384000539.0,"3950 SACRAMENTO ST, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.78722, -122.458076)",37.78722,-122.458076,10714,3950 SACRAMENTO ST,Claire Lillienth,SACRAMENTO,SIDEWALK,1,2,,2002,0,37.787214,-122.458064,POINT (-122.45805 37.78721),10.0,8.0,6.0,31.0,80.0,,,10.0,1.8000000011397788e-05
364463,Childrens After School Arts,Private,0,6,K-6,Independent / Private,IND225,5,11,IND,384000345.0,"584 CASTRO ST STE 264, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.75959, -122.435242)",37.75959,-122.435242,9780,4115 19TH ST,Spike's Coffee and Tea,19TH,SIDEWALK,1,2,,2003,0,37.759121,-122.435155,POINT (-122.43514 37.759117),115.0,3.0,5.0,5.0,171.0,9.0,,115.0,0.000556000000010215
365091,Childrens After School Arts,Private,0,6,K-6,Independent / Private,IND225,5,11,IND,384000345.0,"584 CASTRO ST STE 264, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.75959, -122.435242)",37.75959,-122.435242,11581,598 CASTRO ST,Buffalo Whole Food & Grain Company,CASTRO,SIDEWALK,1,2,,2002,0,37.759395,-122.435134,POINT (-122.43512 37.75939),38.0,3.0,5.0,5.0,171.0,9.0,,38.0,0.0003030000000023847
368902,Childrens After School Arts,Private,0,6,K-6,Independent / Private,IND225,5,11,IND,384000345.0,"584 CASTRO ST STE 264, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.75959, -122.435242)",37.75959,-122.435242,9042,564 CASTRO ST,Castro Tarts,CASTRO,SIDEWALK,1,2,,2002,0,37.759907,-122.435259,POINT (-122.43525 37.759903),38.0,3.0,5.0,5.0,171.0,9.0,,38.0,0.0003339999999951715
368981,Childrens After School Arts,Private,0,6,K-6,Independent / Private,IND225,5,11,IND,384000345.0,"584 CASTRO ST STE 264, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.75959, -122.435242)",37.75959,-122.435242,12687,4113 4113 19th St,,4113 19th St,SIDEWALK,2,4,,2019,12,37.75926779,-122.43507125,POINT (-122.43506 37.759262),115.0,3.0,5.0,5.0,171.0,9.0,,115.0,0.0004929600000096457
377328,"Parker, Jean Parker Out-Of-School (OST) / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS088,5,10,PS,38684786041206.0,"840 BROADWAY, San Francisco, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.797619, -122.411041)",37.797619,-122.411041,11408,840 BROADWAY,Jean Parker CDC,BROADWAY,SIDEWALK,1,2,,2013,3,37.797615,-122.411025,POINT (-122.41101 37.79761),107.0,6.0,3.0,6.0,16.0,,,107.0,1.9999999999242846e-05
384411,Happy Day Preschool,Private,-2,-1,PK,Independent / Private,CDC051,3,4,CDC,384001687.0,"809 TARAVAL ST, SAN FRANCISCO, CA 94116",7,6075,SAN FRANCISCO,"CA
(37.742836, -122.474892)",37.742836,-122.474892,9836,801 Taraval St,Orthodontics Pediatric Dentistry,TARAVAL,SIDEWALK,1,2,,2016,11,37.743027,-122.47465,POINT (-122.47464 37.743023),46.0,10.0,8.0,41.0,149.0,,,46.0,0.0004330000000010159
385723,Spring Valley Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS108,5,10,PS,38684786041594.0,"1451 JACKSON ST, San Francisco, CA 94109",3,6075,SAN FRANCISCO,"CA
(37.794006, -122.418816)",37.794006,-122.418816,9877,1451 JACKSON ST,Spring Valley CDC,JACKSON,SIDEWALK,1,2,,2013,1,37.794001,-122.418806,POINT (-122.41879 37.793995),16.0,6.0,3.0,32.0,45.0,,,16.0,1.5000000004761205e-05
390054,Mission Neighborhood Centers - 24Th St Head Start,Private,-2,-1,PK,Independent / Private,CDC097,3,4,CDC,380504876.0,"3013 24TH ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.752457, -122.412224)",37.752457,-122.412224,12341,3036 24TH ST,Alley Cat Books,24TH,SIDEWALK,1,2,,2013,6,37.752809,-122.412674,POINT (-122.41266 37.752804),53.0,3.0,2.0,20.0,166.0,,,53.0,0.0008020000000001914
390082,Mission Neighborhood Centers - 24Th St Head Start,Private,-2,-1,PK,Independent / Private,CDC097,3,4,CDC,380504876.0,"3013 24TH ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.752457, -122.412224)",37.752457,-122.412224,10347,3033 24TH ST,Vallarta Taqueria,24TH,SIDEWALK,1,2,,2003,0,37.752394,-122.412554,POINT (-122.412544 37.752388),53.0,3.0,2.0,20.0,166.0,,,53.0,0.0003930000000025302
390636,Mission Neighborhood Centers - 24Th St Head Start,Private,-2,-1,PK,Independent / Private,CDC097,3,4,CDC,380504876.0,"3013 24TH ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.752457, -122.412224)",37.752457,-122.412224,9339,3033 24th St,Tacqueria Vallarta,24TH,SIDEWALK,3,6,,2015,11,37.752526,-122.412585,POINT (-122.412575 37.75252),53.0,3.0,2.0,20.0,166.0,,,53.0,0.0004300000000156956
391196,Mission Neighborhood Centers - 24Th St Head Start,Private,-2,-1,PK,Independent / Private,CDC097,3,4,CDC,380504876.0,"3013 24TH ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.752457, -122.412224)",37.752457,-122.412224,10089,3013 24TH ST,24th Street Head Start,24TH,SIDEWALK,1,2,,2003,0,37.75245,-122.412208,POINT (-122.41219 37.752445),53.0,3.0,2.0,20.0,166.0,,,53.0,2.2999999984563146e-05
391523,Mission Neighborhood Centers - 24Th St Head Start,Private,-2,-1,PK,Independent / Private,CDC097,3,4,CDC,380504876.0,"3013 24TH ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.752457, -122.412224)",37.752457,-122.412224,9144,2790 HARRISON ST,Humphrey Slocombe,HARRISON,SIDEWALK,1,2,,2010,0,37.752794,-122.412189,POINT (-122.41218 37.75279),53.0,3.0,2.0,20.0,166.0,,,53.0,0.0003719999999987067
395099,Mission Neighborhood Centers - 24Th St Head Start,Private,-2,-1,PK,Independent / Private,CDC097,3,4,CDC,380504876.0,"3013 24TH ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.752457, -122.412224)",37.752457,-122.412224,9749,3026 24TH ST,Liberty Tax,24TH,SIDEWALK,1,2,,2013,6,37.752819,-122.412514,POINT (-122.4125 37.752815),53.0,3.0,2.0,20.0,166.0,,,53.0,0.0006520000000094228
396775,Yick Wo Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS126,5,10,PS,38684786041131.0,"2245 JONES ST, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.80196, -122.416611)",37.80196,-122.416611,12528,2245 Jones Street,Yick Wo Elementary School,Jones Street,SIDEWALK,1,2,,2019,12,37.80190656,-122.41623111,POINT (-122.41622 37.801903),107.0,6.0,3.0,32.0,52.0,,,107.0,0.00043333000000700395
404595,Russian Hill School,Private,-2,-1,PK,Independent / Private,CDC129,3,4,CDC,384001346.0,"2026 DIVISADERO ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.788521, -122.440193)",37.788521,-122.440193,12110,2794 CALIFORNIA ST,Cal-Divis Marketplace,CALIFORNIA,SIDEWALK,1,2,,2002,0,37.788337,-122.440284,POINT (-122.44027 37.788334),102.0,4.0,6.0,30.0,7.0,,,102.0,0.0002750000000162345
404969,Russian Hill School,Private,-2,-1,PK,Independent / Private,CDC129,3,4,CDC,384001346.0,"2026 DIVISADERO ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.788521, -122.440193)",37.788521,-122.440193,11512,2062 Divisadero St,The Lion Pub,DIVISADERO,SIDEWALK,2,4,,2016,7,37.788666,-122.440423,POINT (-122.44041 37.788662),102.0,4.0,6.0,30.0,7.0,,,102.0,0.00037499999999823785
406120,San Francisco Public Montessori,Private,-2,5,PK-5,Independent / Private,IND318,3,10,IND,38684780123117.0,"2340 JACKSON ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.792866, -122.433601)",37.792866,-122.433601,12227,2340 JACKSON ST,San Francisco Public Montessori School,JACKSON,SIDEWALK,3,6,,2015,9,37.792662,-122.43361,POINT (-122.43359 37.792656),102.0,4.0,6.0,30.0,8.0,,,102.0,0.00021300000000223918
420933,Friends Of Saint Francis Child Care Center,Private,-2,-1,PK,Independent / Private,CDC041,3,4,CDC,380504229.0,"50 BELCHER ST, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.768589, -122.430344)",37.768589,-122.430344,11550,50 BELCHER ST,Friends of St. Francis Childcare,BELCHER,SIDEWALK,1,2,,2002,0,37.768511,-122.430472,POINT (-122.43046 37.768505),28.0,7.0,5.0,5.0,90.0,,,28.0,0.00020599999999149077
440458,Sanchez Elementary School  / Preschool,SFUSD,-2,5,PK-5,USD PreK-5,PS103,3,10,PS,38684786041545.0,"325 SANCHEZ ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.763454, -122.430359)",37.763454,-122.430359,10887,325 SANCHEZ ST,Sanchez Elementary School,SANCHEZ,SIDEWALK,2,4,,2015,1,37.763444,-122.430521,POINT (-122.43051 37.76344),37.0,3.0,5.0,5.0,88.0,,,37.0,0.00017200000000627824
442868,Nihonmachi Little Friends - Sutter St,Private,-2,-1,PK,Independent / Private,CDC114,3,4,CDC,380504776.0,"1830 SUTTER ST, SAN FRANCISCO, CA 94115",5,6075,SAN FRANCISCO,"CA
(37.786717, -122.430557)",37.786717,-122.430557,9475,1830 SUTTER ST,Nihonmachi Little Friends,BUSH,SIDEWALK,2,4,,2015,1,37.786705,-122.43055,POINT (-122.430534 37.7867),101.0,4.0,11.0,30.0,78.0,,,101.0,1.9000000001767603e-05
443376,Nihonmachi Little Friends - Sutter St,Private,-2,-1,PK,Independent / Private,CDC114,3,4,CDC,380504776.0,"1830 SUTTER ST, SAN FRANCISCO, CA 94115",5,6075,SAN FRANCISCO,"CA
(37.786717, -122.430557)",37.786717,-122.430557,9834,2031 BUSH ST,Nihonmachi Little Friends,BUSH,SIDEWALK,2,4,,2015,1,37.787085,-122.430577,POINT (-122.430565 37.78708),101.0,4.0,11.0,30.0,78.0,,,101.0,0.00038800000000094315
474181,City College of San Francisco Civic Center,SFCCD,13,14,13-14,Community College District,CC02,18,19,CC,,"1170 MARKET ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.779545, -122.414299)",37.779545,-122.414299,10789,1170 MARKET ST,The Art Institute of California,MARKET,SIDEWALK,1,2,,2013,10,37.779492,-122.414288,POINT (-122.414276 37.779488),21.0,5.0,10.0,36.0,132.0,6.0,1.0,21.0,6.400000000184036e-05
477472,City College of San Francisco Civic Center,SFCCD,13,14,13-14,Community College District,CC02,18,19,CC,,"1170 MARKET ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.779545, -122.414299)",37.779545,-122.414299,10896,1170 MARKET ST,The Art Institute of California,MARKET,SIDEWALK,2,4,,0,0,37.779492,-122.414288,POINT (-122.414276 37.779488),21.0,5.0,10.0,36.0,132.0,6.0,1.0,21.0,6.400000000184036e-05
