,Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Latitude1,Longitude1,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods,Distance
1306701,Little Tree Preschool,Private,-2,-1,PK,Independent / Private,CDC082,3,4,CDC,,"3161 MISSION ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.746403, -122.419037)",37.746403,-122.419037,10028,3151 MISSION ST,Nina's Cleaners,PRECITA,SIDEWALK,1,2,,2015,1,37.746633,-122.418965,POINT (-122.41895 37.746628),83.0,9.0,2.0,2.0,188.0,,,83.0,0.00030200000000490945
1307640,Little Tree Preschool,Private,-2,-1,PK,Independent / Private,CDC082,3,4,CDC,,"3161 MISSION ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.746403, -122.419037)",37.746403,-122.419037,9721,3160 MISSION ST,Atlas Motors and El Rio,MISSION,SIDEWALK,2,4,,2003,0,37.746669,-122.419531,POINT (-122.41952 37.746666),83.0,9.0,2.0,2.0,188.0,,,83.0,0.0007599999999996498
1308492,Little Tree Preschool,Private,-2,-1,PK,Independent / Private,CDC082,3,4,CDC,,"3161 MISSION ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.746403, -122.419037)",37.746403,-122.419037,12051,3149 MISSION ST,Baby Blues BBQ,MISSION,SIDEWALK,2,4,,2012,7,37.746868,-122.418771,POINT (-122.418755 37.746864),83.0,9.0,2.0,2.0,160.0,,,83.0,0.0007309999999947081
1308896,Little Tree Preschool,Private,-2,-1,PK,Independent / Private,CDC082,3,4,CDC,,"3161 MISSION ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.746403, -122.419037)",37.746403,-122.419037,9087,3158 MISSION ST,El Rio,MISSION,SIDEWALK,2,4,,2015,7,37.746801,-122.419459,POINT (-122.41945 37.746796),83.0,9.0,2.0,2.0,188.0,,,83.0,0.0008199999999973784
1309183,Little Tree Preschool,Private,-2,-1,PK,Independent / Private,CDC082,3,4,CDC,,"3161 MISSION ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.746403, -122.419037)",37.746403,-122.419037,9035,3174 MISSION ST,Bay Jiu-Jitsu,MISSION,SIDEWALK,2,4,,2015,8,37.746325,-122.41951,POINT (-122.419495 37.74632),83.0,9.0,2.0,2.0,188.0,,,83.0,0.0005510000000015225
1322293,Childrens Day School,Private,-2,8,PK-8,Independent / Private,IND226,3,13,IND,38684787096514.0,"333 DOLORES ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.764256, -122.425201)",37.764256,-122.425201,10862,3245 16TH ST,Creativity Explored,16TH,SIDEWALK,2,4,,2005,0,37.764463,-122.425002,POINT (-122.42499 37.764458),37.0,3.0,5.0,20.0,178.0,,,37.0,0.00040599999999102465
1323307,Childrens Day School,Private,-2,8,PK-8,Independent / Private,IND226,3,13,IND,38684787096514.0,"333 DOLORES ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.764256, -122.425201)",37.764256,-122.425201,10034,3235 16TH ST,Barnets,16TH,SIDEWALK,1,2,,2006,0,37.76447,-122.424871,POINT (-122.42486 37.764465),37.0,3.0,5.0,20.0,178.0,,,37.0,0.0005440000000049849
1323800,Childrens Day School,Private,-2,8,PK-8,Independent / Private,IND226,3,13,IND,38684787096514.0,"333 DOLORES ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.764256, -122.425201)",37.764256,-122.425201,10362,333 DOLORES ST,Children's Day School,DOLORES,SIDEWALK,5,10,,2015,1,37.763896,-122.425104,POINT (-122.425095 37.76389),37.0,3.0,5.0,20.0,178.0,,,37.0,0.00045699999999726515
1323872,Childrens Day School,Private,-2,8,PK-8,Independent / Private,IND226,3,13,IND,38684787096514.0,"333 DOLORES ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.764256, -122.425201)",37.764256,-122.425201,11175,3271 16TH ST,Laughing Lotus Yoga Center,16TH,SIDEWALK,2,4,,0,0,37.764429,-122.425586,POINT (-122.425575 37.764423),37.0,3.0,5.0,20.0,178.0,,,37.0,0.0005579999999909546
1324880,Childrens Day School,Private,-2,8,PK-8,Independent / Private,IND226,3,13,IND,38684787096514.0,"333 DOLORES ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.764256, -122.425201)",37.764256,-122.425201,9451,3271 16TH ST,Laughing Lotus Yoga Center,16TH,SIDEWALK,2,4,,2012,8,37.764429,-122.425586,POINT (-122.425575 37.764423),37.0,3.0,5.0,20.0,178.0,,,37.0,0.0005579999999909546
1352800,Cross Cultural Family Center - Turk Street Center,Private,-2,4,PK-4,Independent / Private,IND234,3,9,IND,380506340.0,"201 TURK ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.782799, -122.412865)",37.782799,-122.412865,10638,240 TURK ST,Salvation Army,TURK,SIDEWALK,2,4,,2016,10,37.782985,-122.413105,POINT (-122.41309 37.78298),20.0,5.0,10.0,36.0,18.0,6.0,1.0,20.0,0.00042600000000447835
1363332,Saint Luke School (Sls Preschool),Private,-2,-1,PK,Independent / Private,CDC131,3,4,CDC,384002543.0,"1335 SUTTER ST, SAN FRANCISCO, CA 94109",2,6075,SAN FRANCISCO,"CA
(37.787209, -122.42234)",37.787209,-122.42234,9053,1305 VAN NESS AVE,UNKNOWN,VAN NESS,SIDEWALK,1,2,,2004,0,37.787619,-122.421855,POINT (-122.421844 37.787613),100.0,4.0,6.0,21.0,11.0,,,100.0,0.000895000000014079
1368004,Buen Dia Family School,Private,-2,-1,PK,Independent / Private,CDC007,3,4,CDC,380504038.0,"589 GUERRERO ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.761932, -122.423454)",37.761932,-122.423454,12141,598 GUERRERO ST,Izakaya Yuzuki,GUERRERO,SIDEWALK,1,2,,2016,10,37.761564,-122.423892,POINT (-122.42388 37.76156),37.0,3.0,5.0,20.0,76.0,,,37.0,0.0008059999999900924
1368439,Buen Dia Family School,Private,-2,-1,PK,Independent / Private,CDC007,3,4,CDC,380504038.0,"589 GUERRERO ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.761932, -122.423454)",37.761932,-122.423454,11609,593 GUERRERO ST,18 Reasons,GUERRERO,SIDEWALK,1,2,,2004,0,37.761763,-122.423602,POINT (-122.42359 37.761757),37.0,3.0,5.0,20.0,76.0,,,37.0,0.0003169999999954598
1370698,Buen Dia Family School,Private,-2,-1,PK,Independent / Private,CDC007,3,4,CDC,380504038.0,"589 GUERRERO ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.761932, -122.423454)",37.761932,-122.423454,9341,592 GUERRERO ST,Bi Rite Offices,GUERRERO,SIDEWALK,1,2,,2016,10,37.761651,-122.423932,POINT (-122.42392 37.761646),37.0,3.0,5.0,20.0,76.0,,,37.0,0.0007589999999879637
1371100,Buen Dia Family School,Private,-2,-1,PK,Independent / Private,CDC007,3,4,CDC,380504038.0,"589 GUERRERO ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.761932, -122.423454)",37.761932,-122.423454,11905,589 GUERRERO ST,Buen Dia Family School,GUERRERO,SIDEWALK,1,2,,2004,0,37.761929,-122.42344,POINT (-122.42342 37.761925),37.0,3.0,5.0,20.0,76.0,,,37.0,1.7000000006817118e-05
1371332,Buen Dia Family School,Private,-2,-1,PK,Independent / Private,CDC007,3,4,CDC,380504038.0,"589 GUERRERO ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.761932, -122.423454)",37.761932,-122.423454,10993,599 GUERRERO ST,Pay N Save store,GUERRERO,SIDEWALK,1,2,,2011,2,37.761763,-122.423602,POINT (-122.42359 37.761757),37.0,3.0,5.0,20.0,76.0,,,37.0,0.0003169999999954598
1401820,Live Oak School,Private,0,8,K-8,Independent / Private,IND267,5,13,IND,38684786981377.0,"1555 MARIPOSA ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.763557, -122.399467)",37.763557,-122.399467,10318,1555 MARIPOSA ST,Live Oak School,MARIPOSA,SIDEWALK,2,4,,2013,3,37.763449,-122.399445,POINT (-122.39943 37.763443),54.0,2.0,9.0,26.0,34.0,,,54.0,0.0001299999999986312
1403925,Live Oak School,Private,0,8,K-8,Independent / Private,IND267,5,13,IND,38684786981377.0,"1555 MARIPOSA ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.763557, -122.399467)",37.763557,-122.399467,11037,1555 MARIPOSA ST,Live Oak School,MARIPOSA,SIDEWALK,1,2,,2003,0,37.763449,-122.399445,POINT (-122.39943 37.763443),54.0,2.0,9.0,26.0,34.0,,,54.0,0.0001299999999986312
1442542,Alt School - Dogpatch 1,Private,-1,2,TK-2,Independent / Private,IND202,4,7,IND,38684786148290.0,"2265 03RD ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.761177, -122.38813)",37.761177,-122.38813,10515,628 20TH ST,Retox Lounge,20TH,SIDEWALK,1,2,,2003,0,37.760679,-122.388215,POINT (-122.3882 37.760674),55.0,2.0,9.0,26.0,167.0,14.0,,55.0,0.00058299999999889
1444073,Alt School - Dogpatch 1,Private,-1,2,TK-2,Independent / Private,IND202,4,7,IND,38684786148290.0,"2265 03RD ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.761177, -122.38813)",37.761177,-122.38813,9722,2225 03RD ST,Dignita,03RD,SIDEWALK,1,2,,2015,6,37.761459,-122.388466,POINT (-122.38845 37.761456),55.0,2.0,9.0,26.0,167.0,14.0,,55.0,0.0006179999999886832
1444440,Alt School - Dogpatch 1,Private,-1,2,TK-2,Independent / Private,IND202,4,7,IND,38684786148290.0,"2265 03RD ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.761177, -122.38813)",37.761177,-122.38813,10876,2245 03RD ST,Triple Voodoo Brewery and Tap Room,03RD,SIDEWALK,4,8,,2015,1,37.761211,-122.38837,POINT (-122.38836 37.761204),55.0,2.0,9.0,26.0,167.0,14.0,,55.0,0.00027399999999033753
1444823,Alt School - Dogpatch 1,Private,-1,2,TK-2,Independent / Private,IND202,4,7,IND,38684786148290.0,"2265 03RD ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.761177, -122.38813)",37.761177,-122.38813,10235,810 ILLINOIS ST,Portrero Kids on Third,ILLINOIS,SIDEWALK,2,4,,2013,6,37.761178,-122.388106,POINT (-122.38809 37.761173),55.0,2.0,9.0,26.0,167.0,14.0,,55.0,2.500000000793534e-05
1444825,Alt School - Dogpatch 1,Private,-1,2,TK-2,Independent / Private,IND202,4,7,IND,38684786148290.0,"2265 03RD ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.761177, -122.38813)",37.761177,-122.38813,9764,2289 03RD ST,Sea Star,03RD,SIDEWALK,1,2,,2015,6,37.760711,-122.388325,POINT (-122.38831 37.760704),55.0,2.0,9.0,26.0,167.0,14.0,,55.0,0.0006609999999938054
1514393,Chinese American International School,Private,0,8,K-8,Independent / Private,IND227,5,13,IND,38684787021116.0,"150 OAK ST, SAN FRANCISCO, CA 94102",5,6075,SAN FRANCISCO,"CA
(37.775429, -122.422424)",37.775429,-122.422424,9107,198 GOUGH ST,20th Century Café,GOUGH,SIDEWALK,1,2,,2016,9,37.775018,-122.42251,POINT (-122.42249 37.775013),21.0,4.0,11.0,9.0,37.0,,,21.0,0.0004969999999957508
1516800,Chinese American International School,Private,0,8,K-8,Independent / Private,IND227,5,13,IND,38684787021116.0,"150 OAK ST, SAN FRANCISCO, CA 94102",5,6075,SAN FRANCISCO,"CA
(37.775429, -122.422424)",37.775429,-122.422424,12298,261 FELL ST,Advent of Christ the King,FELL,SIDEWALK,1,2,,2012,10,37.775776,-122.422054,POINT (-122.42204 37.775772),21.0,4.0,11.0,9.0,70.0,,,21.0,0.000717000000001633
1529946,San Francisco Friends School,Private,0,8,K-8,Independent / Private,IND316,5,13,IND,38684786204762.0,"250 VALENCIA ST, SAN FRANCISCO, CA 94103",8,6075,SAN FRANCISCO,"CA
(37.768978, -122.422905)",37.768978,-122.422905,9642,260 VALENCIA ST,Pauline's Pizza,VALENCIA,SIDEWALK,1,2,,2012,4,37.768649,-122.422552,POINT (-122.42254 37.768642),37.0,3.0,5.0,20.0,178.0,,,37.0,0.000681999999997629
1530102,San Francisco Friends School,Private,0,8,K-8,Independent / Private,IND316,5,13,IND,38684786204762.0,"250 VALENCIA ST, SAN FRANCISCO, CA 94103",8,6075,SAN FRANCISCO,"CA
(37.768978, -122.422905)",37.768978,-122.422905,11206,228 VALENCIA ST,Fix Studios,VALENCIA,SIDEWALK,1,2,,2012,8,37.769332,-122.4226,POINT (-122.422585 37.769325),37.0,3.0,5.0,20.0,178.0,,,37.0,0.000658999999998855
1532068,San Francisco Friends School,Private,0,8,K-8,Independent / Private,IND316,5,13,IND,38684786204762.0,"250 VALENCIA ST, SAN FRANCISCO, CA 94103",8,6075,SAN FRANCISCO,"CA
(37.768978, -122.422905)",37.768978,-122.422905,11396,220 VALENCIA ST,SF Community Acupunture,VALENCIA,SIDEWALK,1,2,,2012,7,37.769438,-122.42261,POINT (-122.4226 37.769432),37.0,3.0,5.0,20.0,178.0,,,37.0,0.0007549999999980628
1547540,Cornerstone Academy,Private,-2,-1,PK,Independent / Private,CDC019,3,4,CDC,38684787086192.0,"1925 LAWTON ST, SAN FRANCISCO, CA 94134",4,6075,SAN FRANCISCO,"CA
(37.75742, -122.483665)",37.75742,-122.483665,12780,1925 Lawton Street,Cornerstone Academy,Lawton Street,SIDEWALK,1,2,,2019,12,37.75766164,-122.48347841,POINT (-122.48347 37.757656),39.0,10.0,7.0,35.0,61.0,,,39.0,0.00042822999999714284
1560089,Youth Chance High School,Private,9,12,9-12,Independent / Private,IND339,14,17,IND,38684786204242.0,"169 STEUART ST, SAN FRANCISCO, CA 94105",6,6075,SAN FRANCISCO,"CA
(37.792519, -122.392021)",37.792519,-122.392021,12412,169 STEUART ST,YMCA,STEUART,SIDEWALK,1,2,,2004,0,37.792694,-122.391969,POINT (-122.39195 37.79269),108.0,1.0,10.0,8.0,25.0,,,108.0,0.00022699999999531428
1560254,Youth Chance High School,Private,9,12,9-12,Independent / Private,IND339,14,17,IND,38684786204242.0,"169 STEUART ST, SAN FRANCISCO, CA 94105",6,6075,SAN FRANCISCO,"CA
(37.792519, -122.392021)",37.792519,-122.392021,11569,131 STEUART ST,Little Saigon,STEUART,SIDEWALK,1,2,,2010,0,37.793007,-122.392361,POINT (-122.39235 37.793003),108.0,1.0,10.0,8.0,25.0,,,108.0,0.0008279999999984966
1564254,Youth Chance High School,Private,9,12,9-12,Independent / Private,IND339,14,17,IND,38684786204242.0,"169 STEUART ST, SAN FRANCISCO, CA 94105",6,6075,SAN FRANCISCO,"CA
(37.792519, -122.392021)",37.792519,-122.392021,9510,180 STEUART ST,USPS,STEUART,SIDEWALK,1,2,,2010,11,37.792244,-122.392238,POINT (-122.39223 37.79224),108.0,1.0,10.0,8.0,25.0,,,108.0,0.0004920000000083746
1565116,Youth Chance High School,Private,9,12,9-12,Independent / Private,IND339,14,17,IND,38684786204242.0,"169 STEUART ST, SAN FRANCISCO, CA 94105",6,6075,SAN FRANCISCO,"CA
(37.792519, -122.392021)",37.792519,-122.392021,9347,161 STEUART ST,Ozumo Restaurant,STEUART,SIDEWALK,2,4,,2011,11,37.792694,-122.391969,POINT (-122.39195 37.79269),108.0,1.0,10.0,8.0,25.0,,,108.0,0.00022699999999531428
1568282,Nihonmachi Little Friends - After School Program,Private,-2,-1,PK,Independent / Private,CDC112,3,4,CDC,380504889.0,"1700 SUTTER ST, SAN FRANCISCO, CA 94115",5,6075,SAN FRANCISCO,"CA
(37.786919, -122.428688)",37.786919,-122.428688,9435,1716 SUTTER ST,Nihonmachi Little Friends,SUTTER,SIDEWALK,1,2,,2015,1,37.786988,-122.428917,POINT (-122.4289 37.786983),101.0,4.0,11.0,30.0,78.0,,,101.0,0.00029800000000790305
1571062,Presidio Preschool,Private,-2,-1,PK,Independent / Private,CDC125,3,4,CDC,384002067.0,"143 CLEMENT ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.782864, -122.460831)",37.782864,-122.460831,12735,327 3rd Ave,Sloat Garden Center,3rd Ave,SIDEWALK,1,2,,2019,12,37.7824852,-122.46117267,POINT (-122.46116 37.782482),5.0,8.0,4.0,11.0,98.0,,,5.0,0.0007204699999903141
1572183,Presidio Preschool,Private,-2,-1,PK,Independent / Private,CDC125,3,4,CDC,384002067.0,"143 CLEMENT ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.782864, -122.460831)",37.782864,-122.460831,11350,151 CLEMENT ST,Giorgio's Pizza,CLEMENT,SIDEWALK,2,4,,2016,7,37.783043,-122.460678,POINT (-122.46066 37.78304),5.0,8.0,4.0,11.0,98.0,,,5.0,0.000332000000000221
1572359,Presidio Preschool,Private,-2,-1,PK,Independent / Private,CDC125,3,4,CDC,384002067.0,"143 CLEMENT ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.782864, -122.460831)",37.782864,-122.460831,9133,151 CLEMENT ST,Girogio's Pizzeria,CLEMENT,SIDEWALK,2,4,,2010,0,37.782852,-122.461,POINT (-122.46098 37.78285),5.0,8.0,4.0,11.0,98.0,,,5.0,0.00018099999999776628
1573335,Presidio Preschool,Private,-2,-1,PK,Independent / Private,CDC125,3,4,CDC,384002067.0,"143 CLEMENT ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.782864, -122.460831)",37.782864,-122.460831,12151,143 Clement,Presidio Preschool,CLEMENT,SIDEWALK,1,2,,2016,11,37.783047,-122.460595,POINT (-122.46058 37.783043),5.0,8.0,4.0,11.0,98.0,,,5.0,0.0004190000000079408
1573678,Presidio Preschool,Private,-2,-1,PK,Independent / Private,CDC125,3,4,CDC,384002067.0,"143 CLEMENT ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.782864, -122.460831)",37.782864,-122.460831,12401,130 Clement,The Spanish Table,CLEMENT,SIDEWALK,1,2,,2016,11,37.783189,-122.460482,POINT (-122.46047 37.783184),5.0,8.0,4.0,11.0,98.0,,,5.0,0.0006740000000036162
1573780,Presidio Preschool,Private,-2,-1,PK,Independent / Private,CDC125,3,4,CDC,384002067.0,"143 CLEMENT ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.782864, -122.460831)",37.782864,-122.460831,9297,152 CLEMENT ST,CitiKids,CLEMENT,SIDEWALK,1,2,,2002,0,37.783345,-122.461036,POINT (-122.46102 37.78334),5.0,8.0,4.0,11.0,98.0,,,5.0,0.0006859999999946353
1574710,Presidio Preschool,Private,-2,-1,PK,Independent / Private,CDC125,3,4,CDC,384002067.0,"143 CLEMENT ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.782864, -122.460831)",37.782864,-122.460831,10158,127 Clement,B Star,CLEMENT,SIDEWALK,1,2,,2016,11,37.783054,-122.460431,POINT (-122.46042 37.78305),5.0,8.0,4.0,11.0,98.0,,,5.0,0.0005900000000025329
1574841,Presidio Preschool,Private,-2,-1,PK,Independent / Private,CDC125,3,4,CDC,384002067.0,"143 CLEMENT ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.782864, -122.460831)",37.782864,-122.460831,11777,116 Clement,Plough and the Stars,CLEMENT,SIDEWALK,2,4,,2016,11,37.783196,-122.460339,POINT (-122.46033 37.78319),5.0,8.0,4.0,11.0,98.0,,,5.0,0.0008239999999943848
1581385,Compass Clara House,Private,-2,-1,PK,Independent / Private,CDC016,3,4,CDC,384000989.0,"111 PAGE ST, SAN FRANCISCO, CA 94102",5,6075,SAN FRANCISCO,"CA
(37.773743, -122.423042)",37.773743,-122.423042,11529,144 PAGE ST,Nick's Supermarket,PAGE,SIDEWALK,2,4,,2010,10,37.774238,-122.423219,POINT (-122.4232 37.774235),26.0,4.0,11.0,9.0,37.0,,,26.0,0.0006720000000015602
1601875,ABC Preschool,Private,-2,-1,PK,Independent / Private,CDC001,3,4,CDC,380506527.0,"426 33RD AVE, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.781139, -122.493042)",37.781139,-122.493042,9403,3141 Clement St,Akiba,CLEMENT,SIDEWALK,1,2,,2017,5,37.781588,-122.492813,POINT (-122.4928 37.78158),8.0,8.0,4.0,29.0,142.0,,,8.0,0.0006780000000006225
1602314,ABC Preschool,Private,-2,-1,PK,Independent / Private,CDC001,3,4,CDC,380506527.0,"426 33RD AVE, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.781139, -122.493042)",37.781139,-122.493042,11323,3119 Clement St,Garden House Cafe,CLEMENT,SIDEWALK,2,4,,2017,5,37.781598,-122.492587,POINT (-122.49258 37.781593),8.0,8.0,4.0,29.0,142.0,,,8.0,0.0009140000000016357
1602808,ABC Preschool,Private,-2,-1,PK,Independent / Private,CDC001,3,4,CDC,380506527.0,"426 33RD AVE, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.781139, -122.493042)",37.781139,-122.493042,9336,3129 Clement St,Tee Off Bar & Grill,CLEMENT,SIDEWALK,1,2,,2017,5,37.781593,-122.49269,POINT (-122.492676 37.78159),8.0,8.0,4.0,29.0,142.0,,,8.0,0.0008060000000043033
1603216,ABC Preschool,Private,-2,-1,PK,Independent / Private,CDC001,3,4,CDC,380506527.0,"426 33RD AVE, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.781139, -122.493042)",37.781139,-122.493042,11032,3131 CLEMENT ST,Art Gallery,CLEMENT,SIDEWALK,4,8,,2010,0,37.781389,-122.493045,POINT (-122.493034 37.781384),8.0,8.0,4.0,29.0,142.0,,,8.0,0.000252999999986514
1608642,Saint Thomas The Apostle Elementary School,Private,0,8,K-8,Independent / Private,IND308,5,13,IND,38684786980668.0,"3801 BALBOA ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.775097, -122.499771)",37.775097,-122.499771,10156,3795 Balboa,Archery Shop,BALBOA,SIDEWALK,2,4,,2016,10,37.775553,-122.499377,POINT (-122.49937 37.775547),8.0,8.0,4.0,29.0,145.0,,,8.0,0.0008499999999997954
1611080,Saint Thomas The Apostle Elementary School,Private,0,8,K-8,Independent / Private,IND308,5,13,IND,38684786980668.0,"3801 BALBOA ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.775097, -122.499771)",37.775097,-122.499771,11639,3795 Balboa,Various,BALBOA,SIDEWALK,1,2,,2017,5,37.775553,-122.499377,POINT (-122.49937 37.775547),8.0,8.0,4.0,29.0,145.0,,,8.0,0.0008499999999997954
1636452,South Of Market Child Care - Judith Baker Child Development Center,Private,-2,-1,PK,Independent / Private,CDC136,3,4,CDC,384001365.0,"685 NATOMA ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.776806, -122.411476)",37.776806,-122.411476,11400,191 08TH ST,Harvest Urban Market,08TH,SIDEWALK,1,2,,0,0,37.776803,-122.411461,POINT (-122.411446 37.7768),32.0,1.0,10.0,34.0,181.0,,1.0,32.0,1.7999999990081506e-05
1637108,South Of Market Child Care - Judith Baker Child Development Center,Private,-2,-1,PK,Independent / Private,CDC136,3,4,CDC,384001365.0,"685 NATOMA ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.776806, -122.411476)",37.776806,-122.411476,11101,191 08TH ST,Harvest Urban Market,08TH,SIDEWALK,1,2,,2015,10,37.776467,-122.411792,POINT (-122.41178 37.776463),32.0,1.0,10.0,34.0,181.0,,1.0,32.0,0.0006550000000160594
1637559,South Of Market Child Care - Judith Baker Child Development Center,Private,-2,-1,PK,Independent / Private,CDC136,3,4,CDC,384001365.0,"685 NATOMA ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.776806, -122.411476)",37.776806,-122.411476,9431,1166 HOWARD ST,Ralph Gracie Jiu Jitsu,HOWARD,SIDEWALK,2,4,,2013,1,37.776803,-122.411461,POINT (-122.411446 37.7768),32.0,1.0,10.0,34.0,181.0,,1.0,32.0,1.7999999990081506e-05
1638155,Wah Mei School,Private,-2,-1,PK,Independent / Private,CDC154,3,4,CDC,380504314.0,"1400 JUDAH ST, SAN FRANCISCO, CA 94122",4,6075,SAN FRANCISCO,"CA
(37.76186, -122.477371)",37.76186,-122.477371,11110,1400 JUDAH ST,Wah Mei School,19TH,SIDEWALK,1,2,,2015,6,37.76187,-122.477501,POINT (-122.477486 37.761864),39.0,10.0,7.0,35.0,62.0,,,39.0,0.00014000000000180535
1652476,C5 Childrens School - Sf City Building Center,Private,-2,-1,PK,Independent / Private,CDC008,3,4,CDC,384000654.0,"525 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.781109, -122.418922)",37.781109,-122.418922,9078,525 GOLDEN GATE AVE,SFPUC,GOLDEN GATE,SIDEWALK,1,2,,2012,0,37.780924,-122.419161,POINT (-122.41915 37.78092),21.0,4.0,10.0,36.0,132.0,8.0,1.0,21.0,0.00042400000000952787
1654525,Saint Cecilia School,Private,0,8,K-8,Independent / Private,IND292,5,13,IND,38684786981690.0,"600 VICENTE ST, SAN FRANCISCO, CA 94116",7,6075,SAN FRANCISCO,"CA
(37.739872, -122.473602)",37.739872,-122.473602,9314,600 VICENTE ST,St. Cecila's School,VICENTE,SIDEWALK,3,6,,2013,1,37.739866,-122.473588,POINT (-122.47357 37.73986),46.0,10.0,8.0,41.0,149.0,,,46.0,1.9999999992137418e-05
1663489,Mission Dolores Academy,Private,0,8,K-8,Independent / Private,IND274,5,13,IND,38684786981716.0,"3399 16TH ST, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.764122, -122.428284)",37.764122,-122.428284,11480,445 CHURCH ST,Children's Council of San Francisco,CHURCH,SIDEWALK,1,2,,2003,0,37.763749,-122.428192,POINT (-122.42818 37.763744),37.0,3.0,5.0,5.0,88.0,,,37.0,0.00046500000001259423
1663546,Mission Dolores Academy,Private,0,8,K-8,Independent / Private,IND274,5,13,IND,38684786981716.0,"3399 16TH ST, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.764122, -122.428284)",37.764122,-122.428284,9781,445 CHURCH ST,Children's Council of San Francisco,CHURCH,SIDEWALK,1,2,,2002,0,37.763749,-122.428192,POINT (-122.42818 37.763744),37.0,3.0,5.0,5.0,88.0,,,37.0,0.00046500000001259423
